Stock,Ticker,current_price,forecasted_price,forecasted_price_change,percent_change,current_volatility,forecasted_volatility,forecasted_volatility_change,model_error_last_week,model_mda_last_week
MMM,3M,91.81999969482422,93.31628968432403,1.4962899894998145,1.6295904971388913,0.0131059596205902,0.0176958217495652,237.0068628152072,93.54595917015497,71.42857142857143
AOS,A. O. Smith,79.63999938964844,74.80505146697922,-4.834947922669215,-6.071004469768567,0.0040048498571332,0.0157096355399686,70.69392975839841,73.44470151067055,57.14285714285714
ABT,Abbott,116.63999938964844,110.86147367600402,-5.778525713644413,-4.954154444343426,0.013827790934292,0.013419829010462,54.096357405075764,108.64355157350914,57.14285714285714
ABBV,AbbVie,175.75,172.13334463328857,-3.616655366711427,-2.057840891443202,0.010560943211331,0.0128874132974776,185.89601019700578,170.63383146680908,42.857142857142854
ACN,Accenture,362.9500122070313,367.5061866774414,4.556174470410099,1.255317348718313,0.0087344358028337,0.0135449639699971,57.07596703599573,358.8097073802238,57.14285714285714
ADBE,Adobe Inc.,541.9099731445312,568.1699800281701,26.26000688363888,4.845824617557859,0.0483052478073312,0.0301657641861455,1639.9181502051213,584.2943072089863,42.857142857142854
AMD,Advanced Micro Devices,165.69000244140625,172.33347852406044,6.643476082654189,4.0095817398539495,0.0224183215711677,0.0321941070163881,14.67248120259638,164.20812338504894,28.57142857142857
AES,AES Corporation,16.420000076293945,16.4687863817276,0.04878630543365503,0.29711513524344807,0.0144924049510522,0.0225739875696549,10.169972604558222,16.200796643329614,14.285714285714285
AFL,Aflac,78.77999877929688,77.93774090130799,-0.8422578779888852,-1.0691265435894215,0.0061054657289211,0.0127054396005591,144.6982171822595,76.5339867940587,57.14285714285714
A,Agilent Technologies,134.13999938964844,128.2936668019409,-5.846332587707536,-4.358381254144166,0.0041524778573237,0.0186095272921522,87.488243933781,127.68168791180311,57.14285714285714
APD,Air Products and Chemicals,228.08999633789065,231.65852250101318,3.5685261631225274,1.5645255032737788,0.0041662174895966,0.0183329269736726,379.47056705255477,233.84939999729454,57.14285714285714
ABNB,Airbnb,148.14999389648438,141.21208510985184,-6.9379087866325335,-4.683030086035779,0.0031084876702637,0.0327976389683567,27.651823088721134,137.65690751122253,42.857142857142854
AKAM,Akamai,108.36000061035156,97.32206151507263,-11.03793909527893,-10.186359388248732,0.0098515558891278,0.0344119271759818,1288.285922223911,115.37168623025521,42.857142857142854
ALB,Albemarle Corporation,114.81999969482422,127.96424056054535,13.14424086572113,11.447692824121857,0.0762875110752576,0.035007693207883,-49.195572886754995,127.07686581181,28.57142857142857
ARE,Alexandria Real Estate Equities,118.83000183105467,115.36860343652687,-3.461398394527805,-2.9128993866793107,0.0020801278385129,0.021579786034822,20.42901290368249,116.35705871387565,14.285714285714285
ALGN,Align Technology,313.5299987792969,300.11404261475815,-13.415956164538727,-4.2790023974652005,0.0131039906918077,0.0323021165459614,3.752414966485962,285.33745311365016,71.42857142857143
ALLE,Allegion,132.05999755859375,123.29992386767577,-8.760073690917977,-6.633404401685845,0.0028116119508476,0.017529736640109,451.2314888785404,123.12876900805311,71.42857142857143
LNT,Alliant Energy,48.25,48.97337668986084,0.7233766898608422,1.4992263002297248,0.0007330630069832,0.0132370544110275,-3.1550319347676914,48.53576841548507,42.857142857142854
ALL,Allstate,159.72000122070312,151.19096802190245,-8.529033198800676,-5.339990692220913,0.0085810107402056,0.0154076779233387,132.657189256371,150.8375618873595,42.857142857142854
GOOGL,Alphabet Inc. (Class A),141.1199951171875,139.65067350954055,-1.4693216076469469,-1.0411859824873202,0.0142452429506554,0.0198413450753266,381.99806411488254,137.8101063202943,42.857142857142854
GOOG,Alphabet Inc. (Class C),142.1999969482422,142.42947749329986,0.2294805450576689,0.16137872713259974,0.0129825955736091,0.0202692012631492,242.55466060949914,139.60647998047068,42.857142857142854
MO,Altria,40.25,40.49613704966736,0.24613704966736094,0.6115206202915799,0.0010547718737819,0.0130064163055386,395.74457250694206,40.22631435550658,28.57142857142857
AMZN,Amazon,167.0800018310547,155.8889055493991,-11.191096281655575,-6.69804653998724,0.0090012833628358,0.0194989804780209,17.663451805233386,155.08845381464658,28.57142857142857
AMCR,Amcor,9.119999885559082,9.084540906285095,-0.03545897927398656,-0.38880460218133894,0.002308190417695,0.015029188846383,2005.568507630789,9.13136964625369,42.857142857142854
AEE,Ameren,69.87000274658203,69.06535601644555,-0.8046467301364828,-1.1516340324973657,0.0039578434814664,0.0120351457743262,3.1798637049353333,69.85590061490811,28.57142857142857
AAL,American Airlines Group,14.699999809265137,14.222300535384749,-0.477699273880388,-3.249654966521177,0.0153396946315514,0.0273107739429076,1817.8872422564918,14.061779004148653,57.14285714285714
AEP,American Electric Power,80.87999725341797,78.84705718291076,-2.032940070507209,-2.51352638420286,0.0040102357744313,0.0140796824096371,-24.442478600922808,77.57899588710289,42.857142857142854
AXP,American Express,212.4900054931641,206.71114277254333,-5.778862720620765,-2.7195927202358106,0.0003326771374652,0.0142666611762929,179.1014325006643,198.33365819469304,71.42857142857143
AIG,American International Group,68.12999725341797,57.21670722938187,-10.913290024036101,-16.018333280482555,0.016930677880971,0.0183566516305786,-27.260585503646723,56.223384818622186,57.14285714285714
AMT,American Tower,188.3999938964844,187.76815058721922,-0.6318433092651787,-0.335373317268971,0.0135326862741342,0.014251459984761,161.08449280835896,189.90548051623574,28.57142857142857
AWK,American Water Works,121.16000366210938,123.95672025744203,2.7967165953326543,2.308283683394504,0.0013799575066655,0.0163824986490019,26.59375482354128,123.72614059435004,28.57142857142857
AMP,Ameriprise Financial,396.7799987792969,360.1838241778961,-36.596174601400776,-9.22329117243555,0.0017620811241403,0.0128466414382285,1684.8500048266587,361.32511912252875,71.42857142857143
AME,Ametek,174.80999755859375,162.05454872770255,-12.755448830891197,-7.296750191084326,0.0031210226343569,0.0119582875438763,217.05715725103633,159.4737578937767,57.14285714285714
AMGN,Amgen,283.510009765625,277.53374584360506,-5.976263922019939,-2.107955174831555,0.012785593214912,0.0123819611545812,3448.1764321208652,288.7044576559253,57.14285714285714
APH,Amphenol,104.61000061035156,100.99762125087129,-3.612379359480272,-3.4531873992961373,0.0051200080873018,0.0120483788165857,37.605154024257395,99.92644833675979,57.14285714285714
ADI,Analog Devices,189.3999938964844,184.60024678042907,-4.799747116055329,-2.5341854650104194,0.0017095872794422,0.0181038563395392,56.025659638028024,187.17796355691758,57.14285714285714
ANSS,Ansys,332.1400146484375,313.08897209302216,-19.051042555415336,-5.735846846270667,0.00731045621073,0.0226447766907111,82.5521607307484,318.0832398885659,42.857142857142854
